week_start,warehouse_key,otif_rate,late_rate,perfect_rate,revenue,lines,anomaly_score,is_anomaly
2014-12-29,3,0.4552023121387283,0.5202312138728323,0.2239884393063584,117891.5212639033,692,-0.08743669425083794,0
2015-01-05,3,0.43336199484092863,0.5270851246775581,0.20206362854686155,201228.82243243032,1163,-0.163229640133785,0
2015-01-12,3,0.40397350993377484,0.5513245033112583,0.22847682119205298,204440.98215799066,1208,-0.12650787376696582,0
2015-01-19,3,0.4174273858921162,0.537759336099585,0.195850622406639,206914.07238136075,1205,-0.1824631498247697,0
2015-01-26,3,0.4008097165991903,0.557085020242915,0.1813765182186235,204320.05230673254,1235,-0.17387694371241535,0
2015-02-02,3,0.3830678960603521,0.5574182732606874,0.19111483654652137,192257.6019758138,1193,-0.1575694397730314,0
2015-02-09,3,0.37185056472632494,0.577758470894874,0.15030408340573415,195029.0323307807,1151,-0.10233721300135373,0
2015-02-16,3,0.44276094276094274,0.5151515151515151,0.21043771043771045,204349.20212034055,1188,-0.1391462460065636,0
2015-02-23,3,0.39621087314662273,0.5601317957166392,0.19439868204283361,206374.10244122054,1214,-0.17063718553123713,0
2015-03-02,3,0.40843949044585987,0.553343949044586,0.2085987261146497,208815.22244203035,1256,-0.14924355584332288,0
2015-03-09,3,0.39471440750213127,0.5703324808184144,0.1815856777493606,203777.94226495048,1173,-0.17348579775077172,0
2015-03-16,3,0.4307692307692308,0.5128205128205128,0.18803418803418803,196306.00231473148,1170,-0.15887983686938917,0
2015-03-23,3,0.3853989813242784,0.5628183361629882,0.18505942275042445,195345.68196416282,1178,-0.17406955527557194,0
2015-03-30,3,0.46314102564102566,0.4879807692307692,0.20352564102564102,210592.68239646073,1248,-0.050721292355876524,0
2015-04-06,3,0.39869812855980474,0.5581773799837266,0.17982099267697316,211027.25237557088,1229,-0.17433097520171653,0
2015-04-13,3,0.4153094462540717,0.5382736156351792,0.20602605863192183,207571.31228216592,1228,-0.16883976132064743,0
2015-04-20,3,0.42920353982300885,0.5353982300884956,0.1929203539823009,193226.1220781207,1130,-0.15193430031844318,0
2015-04-27,3,0.4045608108108108,0.5701013513513513,0.21114864864864866,207701.4324927611,1184,-0.1466852134292137,0
2015-05-04,3,0.405982905982906,0.5598290598290598,0.1905982905982906,196214.52205112076,1170,-0.18109345703202656,0
2015-05-11,3,0.4219269102990033,0.5232558139534884,0.20431893687707642,201424.29209963093,1204,-0.16940970637369457,0
2015-05-18,3,0.3681592039800995,0.5762852404643449,0.1890547263681592,200666.34202630108,1206,-0.1494952840911274,0
2015-05-25,2,0.34710743801652894,0.6115702479338843,0.0743801652892562,19263.930154879992,121,0.00471063283097195,1
2015-05-25,3,0.40608695652173915,0.5278260869565218,0.18608695652173912,190518.51213374082,1150,-0.16488866767670102,0
2015-06-01,2,0.3993260320134794,0.5703454085930918,0.17775905644481887,206610.88225365203,1187,-0.1736165091632481,0
2015-06-08,2,0.40524534686971236,0.5414551607445008,0.19289340101522842,201539.19216071093,1182,-0.18455954586205797,0
2015-06-15,2,0.424192212096106,0.5343827671913836,0.18475559237779618,205118.07227431098,1207,-0.18775624746510666,0
2015-06-22,2,0.4176672384219554,0.5265866209262435,0.1732418524871355,197730.20232869088,1166,-0.1730648542668169,0
2015-06-29,2,0.43121480289621883,0.5502815768302494,0.21962992759452937,223308.652384353,1243,-0.10789165128865957,0
2015-07-06,2,0.40399002493765584,0.5810473815461347,0.1778886118038238,209825.10235602484,1203,-0.1566437340883035,0
2015-07-13,2,0.3995176848874598,0.5635048231511254,0.204983922829582,206517.3922839209,1244,-0.14676974187455183,0
2015-07-20,2,0.4150298889837746,0.5371477369769427,0.18104184457728437,191998.58216480064,1171,-0.17940587576728073,0
2015-07-27,2,0.4228813559322034,0.5254237288135594,0.18559322033898304,198753.91221142083,1180,-0.18515225125106416,0
2015-08-03,2,0.40706476030277544,0.5592935239697224,0.191757779646762,196777.6421434407,1189,-0.18260678591454166,0
2015-08-10,2,0.39796782387806945,0.5613886536833192,0.18797629127857748,200725.85237714287,1181,-0.18444299979263967,0
2015-08-17,2,0.3838903170522708,0.5655526992287918,0.18766066838046272,199581.05234883088,1167,-0.16963035888363914,0
2015-08-24,2,0.3991701244813278,0.537759336099585,0.17012448132780084,197553.46220273076,1205,-0.16099770560369303,0
2015-08-31,2,0.38405797101449274,0.5748792270531401,0.19162640901771336,217234.49254725195,1242,-0.14002929822087046,0
2015-09-07,2,0.41694915254237286,0.5211864406779662,0.17966101694915254,192779.66212644058,1180,-0.16518352002526826,0
2015-09-14,2,0.3828522920203735,0.5882852292020373,0.17147707979626486,198517.4220459239,1178,-0.15022883204124288,0
2015-09-21,2,0.3721311475409836,0.5926229508196721,0.16885245901639345,211473.79235939082,1220,-0.12256574314345103,0
2015-09-28,2,0.4225352112676056,0.5426677713338857,0.18889809444904723,206657.84232404083,1207,-0.18566060188184114,0
2015-10-05,2,0.43691786621507195,0.5173581710414903,0.1947502116850127,203108.48223913077,1181,-0.167363455673251,0
2015-10-12,2,0.34970857618651124,0.5986677768526228,0.16069941715237301,202859.1421382111,1201,-0.09316101835506035,0
2015-10-19,2,0.42374854481955765,0.5320139697322468,0.21303841676367868,144331.5715031203,859,-0.09012813761339405,0
2015-10-19,4,0.31899641577060933,0.6200716845878136,0.1863799283154122,46201.31045027997,279,-0.08318910899450516,0
2015-10-26,4,0.45012165450121655,0.519059205190592,0.2003244120032441,214371.1122901708,1233,-0.13637375955399816,0
2015-11-02,4,0.37140575079872207,0.5734824281150159,0.15654952076677317,216365.3226872729,1252,-0.09603099227838185,0
2015-11-09,4,0.4191666666666667,0.52,0.17083333333333334,195409.72202147372,1200,-0.15554485941915502,0
2015-11-16,4,0.429831595829992,0.5477145148356054,0.24619085805934243,213844.30245669192,1247,-0.07247718449134366,0
2015-11-23,4,0.4230769230769231,0.5476588628762542,0.18729096989966554,205417.62230750092,1196,-0.18750565904286892,0
2015-11-30,4,0.4099836333878887,0.5458265139116203,0.18576104746317512,206228.03250350186,1222,-0.18462117447571647,0
2015-12-07,4,0.3927958833619211,0.5523156089193825,0.1843910806174957,197783.50219457166,1166,-0.17554938606034398,0
2015-12-14,4,0.441151566469094,0.5258255715495342,0.1947502116850127,202637.42233508074,1181,-0.17218321262630581,0
2015-12-21,4,0.4057632398753894,0.5506230529595015,0.16433021806853582,217218.53239884076,1284,-0.10516518273922831,0
2015-12-28,4,0.4019448946515397,0.5615883306320908,0.1774716369529984,206637.52200320072,1234,-0.1733418463449608,0
2016-01-04,4,0.39860748476936464,0.566579634464752,0.2010443864229765,197292.85211081064,1149,-0.15125058477827863,0
2016-01-11,4,0.41141396933560476,0.5366269165247018,0.16780238500851788,203766.4525238209,1174,-0.16198720002621703,0
2016-01-18,4,0.3856794141578519,0.5842148087876322,0.16273393002441008,208833.872368563,1229,-0.1295217503133252,0
2016-01-25,4,0.43344155844155846,0.5275974025974026,0.18993506493506493,206005.0921508809,1232,-0.17238629092831698,0
2016-02-01,4,0.4091695501730104,0.5657439446366782,0.17214532871972318,201905.64236323402,1156,-0.1628364099473757,0
2016-02-08,4,0.42045454545454547,0.5270979020979021,0.1888111888111888,189355.16203516102,1144,-0.16429507843433844,0
2016-02-15,4,0.4138775510204082,0.5404081632653062,0.18040816326530612,211086.4823510922,1225,-0.17813539517338406,0
2016-02-22,4,0.41638513513513514,0.535472972972973,0.19425675675675674,200021.0923744212,1184,-0.18455672756438846,0
2016-02-29,4,0.42349048800661704,0.5376344086021505,0.1935483870967742,204032.31221634298,1209,-0.18602774671132166,0
2016-03-07,4,0.37040280210157617,0.5945709281961471,0.14185639229422067,195006.49236549053,1142,-0.07699560048678322,0
2016-03-14,4,0.42003367003367004,0.5336700336700336,0.19528619528619529,203629.9522309918,1188,-0.186604525999028,0
2016-03-21,4,0.4380305602716469,0.530560271646859,0.18760611205432937,200056.96231375073,1178,-0.17754474730115866,0
2016-03-28,1,0.3816155988857939,0.5626740947075209,0.18384401114206128,59267.98063070996,359,-0.15131791418620522,0
2016-03-28,4,0.3655913978494624,0.6009557945041816,0.14217443249701314,144160.3717123203,837,-0.02656773627463549,0
2016-04-04,1,0.4321608040201005,0.5117252931323283,0.1968174204355109,200872.46231691074,1194,-0.1598851678015194,0
2016-04-11,1,0.4088709677419355,0.5540322580645162,0.22258064516129034,209337.68236850586,1240,-0.13383578620408082,0
2016-04-18,1,0.41903986981285596,0.549227013832384,0.2050447518307567,210743.99215905063,1229,-0.1679455768389857,0
2016-04-25,1,0.34750462107208874,0.6146025878003697,0.15526802218114602,179526.2418752706,1082,-0.030741196966413753,0
2016-05-02,1,0.42581211589113255,0.5197541703248464,0.2151009657594381,189746.1421702546,1139,-0.1154451977749083,0
2016-05-09,1,0.4329896907216495,0.5313243457573354,0.17049960348929422,211467.61270263075,1261,-0.136489766769603,0
2016-05-16,1,0.40381426202321724,0.5364842454394693,0.16749585406301823,201721.0521947808,1206,-0.16199064479191033,0
2016-05-23,1,0.3481989708404803,0.6037735849056604,0.17667238421955403,188548.5121596205,1166,-0.08157080373749537,0
2016-05-30,1,0.3389121338912134,0.6184100418410042,0.1698744769874477,200834.38230778056,1195,-0.06637906525091769,0
2016-06-06,1,0.389687235841082,0.5798816568047337,0.18681318681318682,204972.01238700066,1183,-0.16791699425726764,0
2016-06-13,1,0.3869565217391304,0.5539130434782609,0.18956521739130436,195201.27228905057,1150,-0.1653239682721515,0
2016-06-20,1,0.42304526748971194,0.5325102880658437,0.1925925925925926,207493.5523370806,1215,-0.18331790295216638,0
2016-06-27,1,0.41333333333333333,0.5383333333333333,0.185,201432.07217939265,1200,-0.18788622232051627,0
2016-07-04,1,0.3978315262718932,0.5512927439532944,0.19683069224353628,201626.18214984072,1199,-0.17782725863096993,0
2016-07-11,1,0.44601328903654486,0.4950166112956811,0.19767441860465115,201026.2422742606,1204,-0.10606828690123393,0
2016-07-18,1,0.43671416596814755,0.4953897736797988,0.20368818105616093,201161.63241314056,1193,-0.11491604454009835,0
2016-07-25,1,0.40202702702702703,0.5481418918918919,0.1858108108108108,197668.36216210065,1184,-0.18396636077568396,0
2016-08-01,1,0.37986463620981387,0.5964467005076142,0.15143824027072758,207139.9723069506,1182,-0.10177315049147867,0
2016-08-08,1,0.44047619047619047,0.5195578231292517,0.1828231292517007,194073.41201616346,1176,-0.159809484972256,0
2016-08-15,1,0.40418679549114334,0.5660225442834138,0.18438003220611915,213556.6124810207,1242,-0.1645202248622739,0
2016-08-22,1,0.42750373692077726,0.5366218236173393,0.18684603886397608,115302.5213203812,669,-0.13062060077134346,0
2016-08-22,2,0.603448275862069,0.39655172413793105,0.2413793103448276,10191.130098249998,58,0.01644584258962256,1
2016-08-22,4,0.38495575221238937,0.6061946902654868,0.17256637168141592,37140.18042372998,226,-0.13488424928005044,0
2016-08-22,5,0.42738589211618255,0.5352697095435685,0.18672199170124482,41913.39048780996,241,-0.15166195253899034,0
2016-08-29,1,0.4909090909090909,0.36363636363636365,0.16363636363636364,8016.15004389,55,-0.013001915824566002,0
2016-08-29,2,0.3870967741935484,0.5967741935483871,0.16666666666666666,33534.85027134997,186,-0.12120681828051816,0
2016-08-29,4,0.4143222506393862,0.5703324808184144,0.21739130434782608,66845.75084394997,391,-0.13793040604036733,0
2016-08-29,5,0.45233968804159447,0.49566724436741766,0.24783362218370883,94258.87102725005,577,-0.07262762073530077,0
2016-09-05,1,0.2,0.725,0.075,5393.450044560001,40,0.15905293793957997,1
2016-09-05,2,0.3230769230769231,0.6717948717948717,0.17435897435897435,33099.160335719986,195,-0.04989013327738101,0
2016-09-05,4,0.37559808612440193,0.5645933014354066,0.13636363636363635,67096.44076647995,418,-0.12574220135299313,0
2016-09-05,5,0.3974121996303142,0.5341959334565619,0.19408502772643252,88920.77111169102,541,-0.14937025009738814,0
2016-09-12,1,0.5806451612903226,0.41935483870967744,0.22580645161290322,5473.43003845,31,0.012495693515943262,1
2016-09-12,2,0.43575418994413406,0.5307262569832403,0.19553072625698323,28728.390359899997,179,-0.13746680864726718,0
2016-09-12,4,0.44919786096256686,0.5,0.2540106951871658,62729.86070766997,374,-0.08584270012495882,0
2016-09-12,5,0.43867243867243866,0.5584415584415584,0.22077922077922077,125161.09115704129,693,-0.0835408707714631,0
2016-09-19,1,0.4,0.5333333333333333,0.2,8183.280061870002,60,-0.10988308836098687,0
2016-09-19,2,0.3472222222222222,0.6111111111111112,0.1574074074074074,35827.12038365998,216,-0.11461456434160217,0
2016-09-19,4,0.4006849315068493,0.5547945205479452,0.20205479452054795,50011.450664529955,292,-0.14290100582797782,0
2016-09-19,5,0.4025974025974026,0.5746753246753247,0.21753246753246752,105762.52115529013,616,-0.11098492650210923,0
2016-09-26,1,0.35555555555555557,0.5777777777777777,0.2,6546.660104449997,45,-0.0904599643422363,0
2016-09-26,2,0.3788546255506608,0.5903083700440529,0.1894273127753304,39420.68049616999,227,-0.13950311347591043,0
2016-09-26,4,0.4164305949008499,0.5750708215297451,0.20679886685552407,60563.53061039199,353,-0.14060730735168986,0
2016-09-26,5,0.4861111111111111,0.4739583333333333,0.2465277777777778,98447.78098176015,576,-0.02379561235546912,0
2016-10-03,1,0.4931506849315068,0.4657534246575342,0.2328767123287671,11742.51017605,73,-0.06611970171802556,0
2016-10-03,2,0.3193717277486911,0.6701570680628273,0.12041884816753927,35429.34047929998,191,-0.024305302719663247,0
2016-10-03,4,0.42923433874709976,0.5475638051044084,0.16473317865429235,74736.04086920296,431,-0.14220315770204245,0
2016-10-03,5,0.49770642201834864,0.46559633027522934,0.20871559633027523,72043.70071960999,436,-0.038525272117457154,0
2016-10-10,2,0.45041322314049587,0.5413223140495868,0.23140495867768596,42782.51048142997,242,-0.12617010223361963,0
2016-10-10,4,0.3795620437956204,0.5790754257907542,0.145985401459854,66680.54070729,411,-0.13319366701466695,0
2016-10-10,5,0.45500848896434637,0.5246179966044142,0.1935483870967742,101343.69105035103,589,-0.12608928722479845,0
2016-10-17,1,0.631578947368421,0.34210526315789475,0.18421052631578946,5467.77000589,38,0.04615111296232843,1
2016-10-17,2,0.3392857142857143,0.5982142857142857,0.19196428571428573,37771.09033978997,224,-0.11720290533170624,0
2016-10-17,4,0.36855670103092786,0.5747422680412371,0.15721649484536082,63061.100644659964,388,-0.135205801076273,0
2016-10-17,5,0.41796200345423146,0.5267702936096719,0.20725388601036268,95152.57112582015,579,-0.14509198963319475,0
2016-10-24,2,0.4511627906976744,0.5116279069767442,0.25116279069767444,36139.53048739999,215,-0.10276653158049454,0
2016-10-24,4,0.3867735470941884,0.5651302605210421,0.1462925851703407,83322.90083968002,499,-0.12332406813753466,0
2016-10-24,5,0.38533834586466165,0.5864661654135338,0.13909774436090225,90913.80104309015,532,-0.1111901525326302,0
2016-10-31,1,0.5064935064935064,0.4935064935064935,0.2727272727272727,14916.240238149992,77,-0.03382630864190472,0
2016-10-31,2,0.37333333333333335,0.5911111111111111,0.16,36958.25049814999,225,-0.12991579535111952,0
2016-10-31,4,0.4036697247706422,0.5412844036697247,0.1345565749235474,54660.430585699956,327,-0.11300471861738925,0
2016-10-31,5,0.4020979020979021,0.5559440559440559,0.16083916083916083,101211.49131397007,572,-0.1266523739705524,0
2016-11-07,1,0.2391304347826087,0.6521739130434783,0.1956521739130435,8863.98008349,46,0.03773368850681347,1
2016-11-07,2,0.46396396396396394,0.5180180180180181,0.16216216216216217,36857.38045920996,222,-0.11053344728237074,0
